
Devices
1500
,,Myon - Voltage,,,,,,,,,,,,,,,,Contrex - Angle,Contrex - Angular Velocity,Contrex - Force,
Frame,Sub Frame,LTibA1,LPer2,LSol3,LGas4,LRec5,LVas6,LHam7,LGlut8,RTibA9,RPer10,RSol11,RGas12,RRec13,RVas14,RHam15,RGlut16,Angle,Angular velocity,Torque
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,deg,deg/s,N
3,10,-3.96729e-06,0.000195007,2.47192e-05,4.776e-05,5.18799e-06,-0.000109558,-0.000326691,0.000126038,-0.000131226,1.35803e-05,6.71387e-06,6.65283e-05,6.50024e-05,8.69751e-06,-8.7738e-05,-0.000338745,30.6435,0.161445,15.066
3,11,-1.20544e-05,0.000189667,2.54822e-05,4.8523e-05,6.56128e-06,-0.000110931,-0.000323944,0.000124207,-0.000129852,1.32751e-05,6.71387e-06,0.000140991,3.05176e-05,1.06812e-05,-0.000102692,-0.000332336,30.642,0.160406,15.0581
3,12,-2.13623e-06,0.000187073,2.57874e-05,4.776e-05,7.17163e-06,-0.000104828,-0.000317535,0.000122986,-0.000124054,1.51062e-05,8.54492e-06,0.000197449,-9.15527e-06,8.69751e-06,-0.00012207,-0.000327454,30.6408,0.159079,15.0506
3,13,3.05176e-06,0.000183105,2.22778e-05,4.66919e-05,4.88281e-06,-0.000104218,-0.000312042,0.000119476,-0.00011673,8.54492e-06,9.15527e-06,5.24902e-05,-0.000277405,9.76562e-06,-4.98962e-05,-0.000323486,30.6401,0.157509,15.0435
3,14,5.0354e-06,0.000181732,2.16675e-05,4.40979e-05,6.56128e-06,-0.000102081,-0.000305176,0.000117187,-0.000123444,8.08716e-06,3.66211e-06,-0.000134735,-0.000311432,3.05176e-06,4.27246e-06,-0.000318298,30.6397,0.155734,15.0368
4,0,7.47681e-06,0.000179443,2.54822e-05,4.48608e-05,7.93457e-06,-0.000101929,-0.000300598,0.000118103,-0.000123444,8.54492e-06,5.79834e-06,-0.000127563,-0.000263824,7.01904e-06,-9.15527e-07,-0.000315857,30.6398,0.153786,15.0304
4,1,-6.10352e-07,0.000174103,2.36511e-05,4.37927e-05,7.93457e-06,-9.85718e-05,-0.000295258,0.000111847,-0.000113373,1.78528e-05,6.40869e-06,-0.000107574,-0.000244293,7.62939e-06,-1.19019e-05,-0.000311127,30.6402,0.151691,15.0243
4,2,-7.62939e-06,0.000172882,2.38037e-05,4.30298e-05,6.86645e-06,-9.53674e-05,-0.000288086,0.000115356,-0.0001091,7.47681e-06,8.69751e-06,-0.000133514,-0.000251617,1.19019e-05,6.88171e-05,-0.000305481,30.6412,0.149474,15.0185
4,3,-1.52588e-06,0.000171204,2.24304e-05,4.36401e-05,9.61304e-06,-9.75037e-05,-0.000282288,0.000111237,-0.000113678,1.15967e-05,1.23596e-05,-0.000145721,-0.000170746,6.40869e-06,0.000124207,-0.000303802,30.6426,0.147157,15.0127
4,4,-1.37329e-06,0.000169067,2.42615e-05,4.3335e-05,6.2561e-06,-6.92749e-05,-0.000278015,8.17871e-05,-8.02612e-05,3.09753e-05,7.17163e-06,-2.89917e-06,-1.7395e-05,9.30786e-06,0.000157623,0.00157501,30.6444,0.144761,15.007
4,5,-7.47681e-06,0.000164337,-8.08716e-06,3.93677e-05,3.96729e-06,0.000243683,-0.00027359,3.57056e-05,1.06812e-05,-2.74658e-06,9.30786e-06,8.30078e-05,9.01794e-05,7.47681e-06,6.08826e-05,0.00260376,30.6467,0.142303,15.0013
4,6,-9.46045e-06,0.000162201,-9.30786e-06,3.86047e-05,7.01904e-06,0.000207672,-0.000267181,0.000107727,-6.82068e-05,-5.08118e-05,7.32422e-06,0.000113525,0.000232391,6.56128e-06,-0.000116425,0.00168167,30.6494,0.139793,14.9954
4,7,-6.40869e-06,0.000160065,-2.56348e-05,5.26428e-05,7.62939e-06,0.000164795,-0.000262604,6.88171e-05,-7.09534e-05,1.60217e-05,7.32422e-06,7.93457e-05,0.000248718,7.47681e-06,-0.000122223,-0.000144501,30.6526,0.137232,14.9893
4,8,5.95093e-06,0.000159302,3.08228e-05,8.48389e-05,7.32422e-06,0.000132751,-0.000258179,-0.000103149,-5.8136e-05,-5.27954e-05,7.62939e-06,-7.17163e-06,0.00025177,8.39233e-06,-5.12695e-05,-0.00113495,30.656,0.134621,14.9829
4,9,8.23975e-06,0.000154419,4.18091e-05,9.59778e-05,7.32422e-06,0.00021286,-0.000249481,-0.000131836,-4.16565e-05,-0.000127106,3.50952e-06,-8.19397e-05,0.000162811,2.59399e-06,3.64685e-05,-0.0017012,30.6598,0.131966,14.9762
4,10,1.19019e-05,0.000152588,3.87573e-05,8.7738e-05,8.08716e-06,0.000258942,-0.000249634,-0.000102081,-9.50623e-05,-6.98853e-05,1.14441e-05,-0.000110474,0.000149384,6.40869e-06,7.78198e-05,-0.00210938,30.6638,0.129274,14.9691
